customer_id,purhcase_date,recency,online_purchases,store_purchases,complaints,calls,intercoms
20201701,09-04-2012,58,8,4,0,3,11
20201702,03-08-2014,38,1,2,0,3,11
20201703,8/21/2013,26,8,10,0,3,11
20201704,02-10-2014,26,2,4,0,3,11
20201705,1/19/2014,94,5,6,0,3,11
20201706,09-09-2013,16,6,10,5,3,11
20201707,11/13/2012,34,7,7,0,3,11
20201708,05-08-2013,32,4,4,0,3,11
20201709,06-06-2013,19,3,2,3,3,11
20201710,3/13/2014,68,1,0,5,3,11
20201711,11/15/2013,11,1,2,0,3,11
20201712,11/13/2012,59,2,3,6,3,11
20201713,11/15/2013,82,3,8,0,3,11
20201714,11/15/2013,53,6,5,0,3,11
20201715,10-10-2012,38,1,3,0,3,11
20201716,11/24/2012,23,7,12,0,3,11
20201717,12/24/2012,51,3,3,7,3,11
20201718,8/31/2012,20,4,6,0,3,11
20201719,3/28/2013,91,11,9,4,3,11
20201720,11-03-2012,86,2,3,0,3,11
20201721,08-08-2012,41,4,5,0,3,11
20201722,01-06-2013,42,0,0,7,3,11
20201723,12/23/2012,63,2,9,4,3,11
20201724,01-11-2014,0,6,9,6,3,11
20201725,3/18/2013,69,7,5,0,3,11
20201726,01-02-2013,89,2,3,0,3,11
20201727,5/27/2013,4,5,4,0,3,11
20201728,2/20/2013,19,27,0,4,3,11
20201729,5/31/2013,26,2,4,0,3,11
20201730,11/22/2013,96,6,10,5,3,11
20201731,5/22/2014,34,3,3,8,3,11
20201732,05-11-2013,56,2,3,0,3,11
20201733,10-10-2012,31,2,4,0,3,11
20201734,10/29/2012,8,4,6,3,3,11
20201735,2/20/2013,4,3,9,5,3,11
20201736,8/29/2013,55,2,3,0,3,11
20201737,12/31/2013,37,5,12,2,3,11
20201738,09-02-2013,76,3,2,5,3,11
20201739,02-11-2014,99,1,3,0,3,11
20201740,02-01-2013,53,7,5,0,3,11
20201741,4/29/2013,3,8,5,0,3,11
20201742,03-12-2013,88,2,3,0,3,11
20201743,12/24/2012,4,0,3,7,3,11
20201744,11-05-2013,80,1,4,0,3,11
20201745,10-02-2013,19,2,3,0,3,11
20201746,6/28/2014,72,2,9,3,3,11
20201747,11-09-2012,24,3,3,0,3,11
20201748,5/24/2013,92,2,2,0,3,11
20201749,01-01-2014,96,2,4,0,3,11
20201750,11-08-2012,39,5,12,0,3,11
20201751,05-12-2014,29,4,10,0,3,11
20201752,08-11-2012,2,6,13,0,3,11
20201753,01-02-2013,54,2,3,0,3,11
20201754,06-07-2014,54,4,7,0,3,11
20201755,06-12-2013,57,4,10,0,3,11
20201756,11/19/2012,55,3,13,0,3,11
20201757,04-02-2013,30,5,10,0,3,11
20201758,4/28/2014,31,1,4,2,3,11
20201759,6/17/2013,57,2,3,0,3,11
20201760,03-03-2014,63,8,6,3,3,11
20201761,07-04-2013,12,3,11,0,3,11
20201762,09-07-2012,18,4,12,1,3,11
20201763,2/18/2013,26,8,10,0,3,11
20201764,06-11-2013,8,7,8,1,3,11
20201765,12-06-2013,29,7,4,1,3,11
20201766,5/21/2013,75,1,2,1,3,11
20201767,05-11-2014,0,1,2,1,3,11
20201768,3/19/2014,19,11,10,1,3,11
20201769,9/27/2013,4,5,10,11,3,11
20201770,04-08-2013,90,2,5,1,3,11
20201771,09-11-2012,1,4,6,0,3,11
20201772,9/14/2012,25,3,3,0,3,11
20201773,3/17/2013,29,10,13,0,3,11
20201774,04-05-2013,88,9,8,0,3,11
20201775,4/30/2014,58,2,4,0,3,11
20201776,12/19/2012,68,1,2,0,3,11
20201777,8/27/2012,34,7,5,0,3,11
20201778,10-12-2012,40,5,9,0,3,11
20201779,09-04-2013,12,0,3,1,3,11
20201780,01-02-2013,9,10,8,0,3,11
20201781,8/29/2012,87,3,4,3,3,11
20201782,6/23/2013,5,1,2,0,3,11
20201783,07-03-2013,87,3,3,0,3,11
20201784,05-11-2013,56,2,3,0,3,11
20201785,2/25/2014,18,3,13,0,3,11
20201786,08-11-2013,95,1,4,0,3,11
20201787,7/16/2013,48,3,4,0,3,11
20201788,5/28/2014,3,6,6,0,3,11
20201789,05-12-2014,70,5,7,0,3,7
20201790,1/21/2014,79,2,5,2,3,7
20201791,11/19/2012,4,7,8,0,3,7
20201792,5/27/2014,45,1,2,0,3,7
20201793,11/23/2013,87,2,8,0,3,7
20201794,3/23/2014,69,1,3,0,3,7
20201795,5/24/2014,84,3,3,0,3,7
20201796,5/22/2014,30,2,3,1,3,7
20201797,11/22/2012,72,7,6,2,3,7
20201798,04-11-2013,37,2,3,0,3,7
20201799,12-01-2013,44,5,12,0,3,7
20201800,6/20/2013,32,5,7,0,3,7
20201801,7/23/2013,0,2,3,0,3,7
20201802,3/30/2014,43,2,3,0,3,7
20201803,4/20/2013,59,9,11,0,3,7
20201804,5/17/2013,68,6,6,0,3,7
20201805,05-08-2014,35,3,5,0,5,7
20201806,12-10-2013,94,1,3,0,3,7
20201807,9/24/2013,15,4,4,0,3,7
20201808,02-02-2013,56,6,12,0,3,7
20201809,12/19/2012,17,3,3,0,3,7
20201810,12-07-2012,18,5,4,0,3,7
20201811,11-02-2013,46,6,11,0,3,7
20201812,11-10-2012,40,7,5,0,3,7
20201813,6/25/2014,27,8,8,0,3,6
20201814,01-02-2013,95,6,11,0,3,6
20201815,12-12-2012,19,6,6,0,3,6
20201816,09-10-2013,27,2,3,0,3,3
20201817,1/24/2014,25,4,5,0,3,11
20201818,2/19/2013,74,9,5,0,3,11
20201819,07-11-2013,85,1,3,0,2,11
20201820,11/14/2013,37,2,3,0,4,11
20201821,6/20/2013,65,6,10,0,5,11
20201822,2/24/2014,13,2,3,0,3,11
20201823,09-04-2013,63,1,3,0,3,3
20201824,4/22/2013,83,1,3,0,3,11
20201825,03-12-2013,69,6,13,0,3,11
20201826,2/18/2013,87,3,7,0,6,11
20201827,4/21/2013,37,3,6,0,3,11
20201828,06-08-2014,51,2,4,0,3,11
20201829,07-11-2013,23,6,7,0,3,11
20201830,05-10-2014,72,6,10,0,0,2
20201831,9/30/2013,10,5,5,0,3,11
20201832,03-10-2013,42,11,6,0,3,11
20201833,02-10-2014,10,7,9,0,3,11
20201834,08-11-2013,96,6,7,0,3,2
20201835,8/14/2013,51,5,5,0,3,2
20201836,3/17/2013,21,4,13,0,0,2
20201837,08-08-2012,31,1,3,0,3,11
20201838,07-07-2013,61,2,2,0,3,11
20201839,5/19/2014,37,1,2,0,3,11
20201840,7/28/2013,74,2,3,0,3,2
20201841,10/19/2012,46,5,12,0,3,2
20201842,11/14/2013,4,3,7,0,3,2
20201843,4/19/2013,73,5,10,0,3,11
20201844,8/28/2013,47,8,9,0,3,11
20201845,3/19/2013,13,4,3,0,3,11
20201846,10/18/2012,36,3,6,0,3,5
20201847,10/28/2012,47,2,3,0,3,3
20201848,8/28/2013,49,1,2,1,3,11
20201849,8/22/2012,94,4,4,0,3,3
20201850,6/21/2014,65,2,4,0,3,5
20201851,4/24/2014,59,4,7,0,3,11
20201852,03-07-2014,96,8,6,0,3,6
20201853,12/14/2012,28,7,5,0,3,3
